SMILES,Activity
CCNC(=O)C1OC(n2cnc3c(N)nc(CCCC4CCN(C(=O)Oc5ccc(NO)cc5)CC4)nc32)C(O)C1O,1
COc1ccc(CC(=O)Nc2nc(SC)nc3nc(-c4ccco4)nn23)cc1,0
CC(=O)COc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)cc1,1
Nc1nc(-c2ccco2)c2nnn(Cc3ccc4[nH]ncc4c3)c2n1,1
Nc1nc(CN2CCN(Cc3cc4ccccc4o3)CC2)nc2nc(-c3ccco3)nn12,0
CC#Cc1nc2c3cnn(CCN4CCN(c5cc(OCCO)ccc5F)CC4)c3nc(N)n2n1,0
CNC(=O)[C@H]1O[C@@H](n2cnc3c(Nc4ccc(CCNC(=O)c5ccc6c(c5)C(C)(C)N([O])C6(C)C)cc4)ncnc32)[C@H](O)[C@@H]1O,0
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)N3CCC(O)(c4cccc(C(F)(F)F)c4)CC3)sc12,0
COc1ccc(N2CCOCC2)c2sc(NC(=O)N(C)C3CCC(C(F)(F)F)CC3)nc12,1
COc1ccc(C2COCCOC2)c2sc(NC(=O)c3ccnc(Br)c3)nc12,1
COc1cnc(N2CCOCC2)c2sc(NC(=O)c3ccnc(N4CC(O)C4)c3)nc12,1
Nc1nc2c(ncn2CCN2CCN(c3ccc(Cl)cc3F)CC2)c2nc(-c3ccccc3)nn12,0
Nc1nc(N2CCN(Cc3cc4ccccc4o3)CC2)nc2nc(-c3ccco3)nn12,0
Nc1cc(-c2ccc(Cl)cc2)cc2nc(-c3ccco3)nn12,1
CC(Oc1ccc(-c2cc3c([nH]2)c(=O)n(C)c(=O)n3C)cc1)C(=O)Nc1ccc(Br)cc1,1
COc1cc(CCOc2nc(N)c3ncn(C4O[C@H](CO)[C@@H](O)[C@H]4O)c3n2)cc(OC)c1OC,0
COCCOc1cncc(-c2cc(NC(C)=O)nc(-n3nc(C)cc3C)n2)c1,1
COc1ccc(C2COCCO2)c2sc(NC(=O)c3cccc(N(C)C)c3)nc12,1
COCCOc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,1
CC[C@@H](C)Nc1nc2nn(C)cc2c2nc(-c3ccco3)nn12,0
Nc1nc(C#CCN(C(=O)c2ccccc2)C2CCC2)nc2c1ncn2[C@@H]1O[C@H](C(=O)NC2CC2)[C@@H](O)[C@H]1O,1
CCNC(=O)C1OC(n2cnc3c(NCC)nc(C#CC(O)c4ccc(OC)cc4)nc32)C(O)C1O,0
Nc1nc2c(cnn2CCN2CCN(c3ccc(Cl)cc3)CC2)c2nc(-c3ccco3)nn12,1
COCCN(CC#Cc1nc(N)c2ncn(C3OC(C(=O)NC4CC4)C(O)C3O)c2n1)C(=O)OC,1
CN1CCN(C(=O)c2ccc(N3CCN(CCn4ncc5c4nc(N)n4nc(-c6ccco6)nc54)CC3)c(F)c2)CC1,1
CC1(C)CC(Nc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)CC(C)(C)N1[O],0
NC(=O)[C@@H]1CCCN1C(=O)c1cc(N)c2nc(-c3ccco3)nn2c1,0
CCCn1cc2nc(NC(=O)Nc3ccc(OC)cc3)n3nc(-c4ccco4)nc3c2c1,0
COc1ccc(O)c(CNc2nc(Cl)nc3c2ncn3[C@H]2[C@H](O)[C@H](O)[C@@H]3C[C@@H]32)c1,0
CCN(C(C)=O)c1ccc(OC)c2nc(NC(=O)[C@@H]3CC[C@H](NCc4cccc(C(F)(F)F)c4)C3)sc12,0
COc1c(F)cccc1Nc1cc(NC(C)=O)nc(-n2nc(C)cc2C)n1,0
O=C(NCCN1CCc2ccccc2C1)NCc1nc(NCC(c2ccccc2)c2ccccc2)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2n1,0
COc1ccc(NC(=O)NN=Nc2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)cc1,1
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,1
CNC(=O)C1O[C@@H](n2cnc3c(NCc4cccc(I)c4)ncnc32)[C@H](O)[C@@H]1O,0
COc1ccc(N2CCN(CCn3c(=O)n(C)c4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,1
OC[C@H]1O[C@@H](n2cnc3c(N[C@@H]4CCSC4)ncnc32)[C@H](O)[C@@H]1O,0
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CC(O)C4CCCCC4)nc32)[C@H](O)[C@@H]1O,0
Nc1nc(N=NNC(=O)c2ccccc2)nc2c1ncn2C1OC(CO)C(O)C1O,0
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#CCC4CCN(C(=O)N(C)CC)CC4)nc32)[C@H](O)[C@@H]1O,0
COc1ccc(N2CCOCC2)c2sc(NC(=O)N(C)C3CCC(O)CC3)nc12,1
COc1ccc(C(=O)Nc2nc3nn(C)c(CCN)c3c3nc(-c4ccco4)nn23)cc1,1
CCC(CC)Nc1nc(Cl)nc2c1ncn2[C@H]1[C@H](O)[C@H](O)[C@@H]2C[C@@H]21,0
COc1ccc(CCCn2ncc3c2nc(N)n2nc(-c4ccco4)nc32)cc1OC,1
O=C(O)c1cnc(NCc2ccc(C(F)(F)F)cc2)n2nc(-c3ccco3)nc12,0
CC(C)NC(=O)c1cccc(-c2cn3nc(-c4ccco4)nc3c(N)n2)c1,0
CCCn1c(=O)c2nc(C3CC4CCC(=O)C3C4)[nH]c2n(CCC)c1=O,0
CCCCNC(=O)c1cc(N)n2nc(-c3ccoc3)nc2c1,0
CCNC(=O)[C@H]1O[C@@H](n2cnc3c(N)nc(C#Cc4ccc(OC)cc4)nc32)[C@H](O)[C@@H]1O,0
Nc1nc(Sc2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
COc1ccc(C2CCOCC2)c2sc(NC(=O)N(C)C3CCN(N(C)C)CC3)nc12,1
CCc1nnn([C@H]2C[C@@H](n3cnc4c(NCC(c5ccccc5)c5ccccc5)nc(N5CC[C@@H](N6CCCC6)C5)nc43)[C@H](O)[C@@H]2O)n1,0
CC(=O)N(C)Cc1ccc(N2CCN(CCn3ncc4c3nc(N)n3nc(-c5ccco5)nc43)CC2)c(F)c1,1
CN(C)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,1
Nc1nc(C#CCC2CCN(C(=O)Oc3cccc([N+](=O)[O-])c3)CC2)nc2c1ncn2C1OC(C(=O)NC2CC2)C(O)C1O,0
